id_str,created_at,place,source,text,coordinates,geo,is_quote_status,retweet_count,quote_count,reply_count,user_created_at,user_description,user_followers_count,user_following,user_friends_count,user_id_str,user_location,user_name,user_statuses_count
1341769483392868358,Wed Dec 23 15:35:48 +0000 2020,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@JamaicaConstab Why is Kingston Wharves Limited facilitating people breaking the curfew by releasing cargo long after 10p.m.?,,,False,0,0,0,Sun Dec 10 19:23:49 +0000 2017,,28,,230,939938721302007808,,Crocodile teet,764
1339742598156615682,Fri Dec 18 01:21:41 +0000 2020,"{'attributes': {}, 'bounding_box': {'coordinates': [[[-78.368878, 17.705786], [-78.368878, 18.525029], [-76.183028, 18.525029], [-76.183028, 17.705786]]], 'type': 'Polygon'}, 'country': 'Jamaica', 'country_code': 'JM', 'full_name': 'Jamaica', 'id': 'd66ca907ceb62690', 'name': 'Jamaica', 'place_type': 'country', 'url': 'https://api.twitter.com/1.1/geo/id/d66ca907ceb62690.json'}","<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",Just posted a photo @ Kingston Wharves Berth 10 https://t.co/wFEpodJgRP,"{'coordinates': [-76.82792804, 17.99004203], 'type': 'Point'}","{'coordinates': [17.99004203, -76.82792804], 'type': 'Point'}",False,0,0,0,Fri Jan 08 13:06:29 +0000 2010,@DMCC_Authority – the world’s leading Free Zone and Government of Dubai Authority. @DDE_by_DMCC @DGCX @dmcccoffee @DMCCTeaCentre,4237,,1253,102977713,"Dubai, United Arab Emirates",ahmed binsulayem,108824
1339705731386380288,Thu Dec 17 22:55:11 +0000 2020,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Chief executive officer of Kingston Wharves Limited, Mark Williams, has declared that they have no backlog of barre… https://t.co/JQD2L9rMB2",,,False,2,1,2,Mon May 18 20:04:59 +0000 2009,"Jamaica's most trusted news source for 186 years. Where life unfolds. Follow for news, sports, business, lifestyle, entertainment and commentary.",305590,,602,40954616,Jamaica,Jamaica Gleaner,162209
1338625500831477768,Mon Dec 14 23:22:44 +0000 2020,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","My sister killing it! Jamaica Health, Beauty, Weddings &amp; Motherhood Stories for the Jamaican Woman - Jamaica Observ… https://t.co/U4HZS4vzqT",,,False,0,0,0,Wed Apr 08 10:17:11 +0000 2020,"CEO of Kailah May Inc.
MBA, Social Media Manager and Content Creator",0,,2,1247830808313958400,New Jersey,Shankai Blends,5
1334706714751496192,Fri Dec 04 03:50:53 +0000 2020,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@tai_kwl já 😿😿,,,False,0,0,1,Tue Jun 02 21:01:48 +0000 2020,eh vdd eu sou a namorada do renjun | fan account.,1985,,378,1267923982306639874,🦊,miojo.,11361
1334700841102667782,Fri Dec 04 03:27:32 +0000 2020,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@tai_kwl já mas deve uma vez que o homem da casa chegou bem na hora,,,False,0,0,1,Tue Jun 02 21:01:48 +0000 2020,eh vdd eu sou a namorada do renjun | fan account.,1985,,378,1267923982306639874,🦊,miojo.,11361
1334665860376649728,Fri Dec 04 01:08:32 +0000 2020,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@owenjamesja I think we met at Kingston Wharves/Grace Kennedy,,,False,0,0,1,Sat Mar 23 18:19:51 +0000 2013,Music lover,127,,711,1292144606,,Patricia Ward,799
1334285542972862464,Wed Dec 02 23:57:17 +0000 2020,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",kingston wharves in the xmas season https://t.co/f0VpxYFSFp,,,True,2,0,0,Sun May 01 23:58:35 +0000 2016,"If it’s not the Law of His Majesty, then I can make my own Law. 🇪🇹",634,,527,726923802714722304,Jamaica,JAH GONG🇪🇹,28004
1332308191615520768,Fri Nov 27 13:00:00 +0000 2020,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@tai_kwl já sim é você??,,,False,0,0,2,Sat Nov 21 23:14:30 +0000 2020,by joon,1621,,1771,1330288434120941577,he¡him,vini🖖,2235
1332040538149826564,Thu Nov 26 19:16:27 +0000 2020,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",@tai_kwl ja assisti alguns porém assisto mais bl,,,False,0,0,1,Fri Nov 13 18:32:49 +0000 2020,• 𝗋𝗲𝗯𝗲𝗹 b0y ⩩ 𝙘𝙝𝙖𝙣𝙜 🚬🛒,1467,,1441,1327318459949211650,ᘎ 𝙠𝘴𝘫 ⋮ ❍ m໐໐n̲ ‹𝟹,𝗺øø𝗻,3306
1331995745843613699,Thu Nov 26 16:18:27 +0000 2020,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",None of yall work at Kingston wharves?🥲🥲🥲,,,False,0,0,1,Fri Apr 29 11:17:45 +0000 2016,UWI Pelican 🇯🇲❤. Jeremiah 29:11 Masicka🥵❤️ #onesydetilthelandslyde Tourism Management Major💕☀️🌊,2299,,995,726007559216357377,Jamaica,niqz💕,12700
1331764714666332164,Thu Nov 26 01:00:25 +0000 2020,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@tai_kwl Já pintei de castanho, azul, verde, metade rosa metade azul, metade rosa metade loiro acho q só",,,False,0,0,1,Tue Nov 24 18:05:40 +0000 2020,✯ trans boy ✯ ele/dele ✯ otaco ✯ bl stan✯ multifandom ✯,240,,272,1331297916015742984,Hogwarts,yoho,149
1331758047488831490,Thu Nov 26 00:33:56 +0000 2020,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","@tai_kwl Já, de loiro no salão mas a mulher n descoloriu meu cabelo ent ficou um ruivo ferrugem... E logo após isso eu taquei o preto",,,False,0,0,1,Tue Feb 25 19:39:02 +0000 2020,"﹫_ _ http://wotath.carrd.co . . . 🍮✨
          ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏ ͏͏ ͏ ͏ ͏ ͏",4436,,4402,1232389531560747008,沈黙 ✦⠁,Sallyღ,23666
1327968862092939264,Sun Nov 15 13:37:03 +0000 2020,"{'attributes': {}, 'bounding_box': {'coordinates': [[[-78.368878, 17.705786], [-78.368878, 18.525029], [-76.183028, 18.525029], [-76.183028, 17.705786]]], 'type': 'Polygon'}, 'country': 'Jamaica', 'country_code': 'JM', 'full_name': 'Jamaica', 'id': 'd66ca907ceb62690', 'name': 'Jamaica', 'place_type': 'country', 'url': 'https://api.twitter.com/1.1/geo/id/d66ca907ceb62690.json'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",People on Facebook cussing About Kingston Wharves profits lol 😂,,,False,0,0,0,Tue Dec 23 01:14:51 +0000 2014,1 Day You Will Be The News| 8763547211| #ArticulateMinority| Defender of Jamaica | Clapback Messiah! | Not the twin | For Events @twittatimesprom,10962,,1823,2937760097,,Lockdown or LockUp,166920
1327937196960198660,Sun Nov 15 11:31:14 +0000 2020,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",Multi-purpose port terminal operator Kingston Wharves Limited (KWL) on Wednesday reported an unaudited after-tax su… https://t.co/RhE7oEZPyd,,,False,5,4,2,Tue Apr 22 04:40:35 +0000 2008,Jamaica's Number 1 Daily Newspaper: Every Day Matters,260473,,312,14470793,"Kingston, Jamaica",Jamaica Observer,203120
1327437122039590912,Sat Nov 14 02:24:07 +0000 2020,,"<a href=""http://klinkerapps.com"" rel=""nofollow"">Talon Android</a>",Kingston Wharves records $1.6-billion net profit for nine-month period - https://t.co/wBDruxP6Q4,,,False,0,0,0,Sat Nov 10 12:43:01 +0000 2018,Jamaican Value Investors Since 2016. We believe sound Investments are a result of sound EDucation.,656,,219,1061237794582994945,Jamaica,InvestEDventure Ja 🇯🇲,1069
1327283020764770305,Fri Nov 13 16:11:46 +0000 2020,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Kingston Wharves Limited (KWL) reported net profit of J$1.9 billion for the nine‐month period ended September 30, 2… https://t.co/roXeqxIanY",,,False,1,0,0,Fri Jul 05 22:52:12 +0000 2019,Bringing you the truest essence of the region with INTEGRITY and RELIABILITY,215,,28,1147277023791996934,,Caribbean Business Report,1704
1327254393075478528,Fri Nov 13 14:18:01 +0000 2020,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Multi-purpose port terminal operator Kingston Wharves Limited (KWL) on Wednesday reported an unaudited after-tax su… https://t.co/r0IDpWqCTF,,,False,0,0,0,Sun Jul 07 17:12:43 +0000 2013,"Your digital media company for EVERYTHING about Jamaica, locally or internationally",1107,,26,1575595518,"Ocho Rios, Jamaica ",JamaicaToday.com,26819
1326659343882842116,Wed Nov 11 22:53:30 +0000 2020,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Kingston Wharves Limited $KW.JA Unaudited Results for the Third Quarter ended 30 September 2020 https://t.co/T9xLfF4fwE via @jastockex,,,False,0,0,0,Sun Apr 19 18:40:59 +0000 2009,,2079,,129,33275038,"ÜT: 18.003908,-76.784123",Graham Jervis 🇯🇲,176540
1325202950994743296,Sat Nov 07 22:26:19 +0000 2020,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Twelve people, including 4-women, from Majesty Garden were arrested in connection to the robbery of counterfeit goo… https://t.co/4vq36A7xMs",,,False,0,1,1,Tue Feb 19 18:58:01 +0000 2019,Journalist | Young Journalist of the Year Nominee (2019) | Prime Minister’s Youth Award Nominee (2019) | Honourary Doctor | “The rest is still unwritten.”,1307,,747,1097933339296780289,Jamaica,William Mitchell,2968
